source_act,amended_act,carrier_article,carrier_section,provision_type,mechanism,screening_confidence,intermediary_validated,matched_pattern,matched_keyword,evidence_text
32010R0066,,,,recital,certificacao,high,0,(competent|accredited) bod(y|ies),competent bodies,"It is appropriate to provide for the conditions under which the EU Ecolabel may be used and, in order to ensure compliance with those conditions, to require competent bodies to undertake verifications and to prohibit the use of the EU Ecolabel where the conditions for use have not been complied with. It is also appropriate to require Member States to lay down the rules on penalties applicable to infringements of this Regulation and to ensure that they are implemented."
32010R0066,,,,recital,certificacao,high,0,(competent|accredited) bod(y|ies),competent bodies,"In order to ensure a harmonised application of the awarding system and of the market surveillance and control of the use of the EU Ecolabel throughout the Community, competent bodies should exchange information and experiences."
32010R0066,,Article 4,,article,certificacao,high,0,(competent|accredited) bod(y|ies),Competent bodies,Competent bodies
32010R0066,,Article 4,,article,certificacao,high,0,(competent|accredited) bod(y|ies),competent body,"1. Each Member State shall designate the body or bodies, within government ministries or outside, responsible for carrying out the tasks provided for in this Regulation (‘the competent body’ or ‘the competent bodies’) and ensure that they are operational. Where more than one competent body is designated, the Member State shall determine those bodies’ respective powers and the coordination requirements applicable to them."
32010R0066,,Article 4,,article,certificacao,high,0,(competent|accredited) bod(y|ies),competent bodies,2. The composition of the competent bodies shall be such as to guarantee their independence and neutrality and their rules of procedure shall be such as to ensure transparency in the conduct of their activities as well as the involvement of all interested parties.
32010R0066,,Article 4,,article,certificacao,high,0,(competent|accredited) bod(y|ies),competent bodies,3. Member States shall ensure that competent bodies meet the requirements laid down in Annex V.
32010R0066,,Article 4,,article,certificacao,high,0,(competent|accredited) bod(y|ies),Competent bodies,"4. Competent bodies shall ensure that the verification process is carried out in a consistent, neutral and reliable manner by a party independent from the operator being verified, based on international, European or national standards and procedures concerning bodies operating product-certification schemes."
32010R0066,,Article 5,,article,certificacao,high,0,(competent|accredited) bod(y|ies),competent bodies,"1. The Commission shall establish a European Union Ecolabelling Board (EUEB) consisting of the representatives of the competent bodies of all the Member States, as referred to in Article 4, and of other interested parties. The EUEB shall elect its president according to its rules of procedure. It shall contribute to the development and revision of EU Ecolabel criteria and to any review of the implementation of the EU Ecolabel scheme. It shall also provide the Commission with advice and assistanc"
32010R0066,,Article 5,,article,certificacao,high,0,(competent|accredited) bod(y|ies),competent bodies,"2. The Commission shall ensure that, in the conduct of its activities, the EUEB observes a balanced participation of all relevant interested parties in respect of each product group, such as competent bodies, producers, manufacturers, importers, service providers, wholesalers, retailers, notably SMEs, and environmental protection groups and consumer organisations."
32010R0066,,Article 7,,article,certificacao,high,0,(competent|accredited) bod(y|ies),competent bodies,"1. Following consultation of the EUEB, the Commission, Member States, competent bodies and other stakeholders may initiate and lead the development or revision of EU Ecolabel criteria. Where such other stakeholders are put in charge of leading the development of criteria, they must demonstrate expertise in the product area, as well as the ability to lead the process with neutrality and in line with the aims of this Regulation. In this regard, consortiums consisting of more than one interest grou"
