source_act,amended_act,carrier_article,carrier_section,provision_type,mechanism,screening_confidence,intermediary_validated,matched_pattern,matched_keyword,evidence_text
32022L2464,,,,recital,reportar,high,0,non-financial (report|statement),non-financial report,"In its communication of 11 December 2019 entitled ‘The European Green Deal’ (the ‘Green Deal’), the European Commission made a commitment to review the provisions concerning non-financial reporting of Directive 2013/34/EU of the European Parliament and of the Council (3). The Green Deal is the new growth strategy of the Union. It aims to transform the Union into a modern, resource-efficient and competitive economy with no net emissions of greenhouse gases (GHG) by 2050. It also aims to protect, "
32022L2464,,,,recital,ranking_rating,high,0,benchmark administrator,benchmark administrator,"Regulation (EU) 2020/852 of the European Parliament and of the Council (6) creates a classification system of environmentally sustainable economic activities with the aim of scaling up sustainable investments and combatting greenwashing of financial products that unduly claim to be sustainable. Regulation (EU) 2019/2089 of the European Parliament and of the Council (7), complemented by Commission Delegated Regulations (EU) 2020/1816 (8), (EU) 2020/1817 (9) and (EU) 2020/1818 (10), introduces env"
32022L2464,,,,recital,reportar,high,0,non-financial (report|statement),non-financial report,"In its Communication of 17 June 2019 entitled ‘Guidelines on non-financial reporting: Supplement on reporting climate-related information’ (‘Guidelines on reporting climate-related information’), the Commission highlighted the benefits for companies of reporting on climate-related information particularly by increasing awareness and understanding of climate-related risks and opportunities within the company, diversifying the investor base, creating a lower cost of capital and improving construct"
32022L2464,,,,recital,reportar,high,0,non-financial (report|statement),non-financial report,"In its conclusions of 5 December 2019 on the deepening of the Capital Markets Union, the Council stressed the importance of reliable, comparable and relevant information on sustainability risks, opportunities and impacts, and called on the Commission to consider the development of a European non-financial reporting standard."
32022L2464,,,,recital,reportar,high,0,non-financial (report|statement),non-financial report,"In its resolution of 29 May 2018 on sustainable finance (14), the European Parliament called for the further development of non-financial reporting requirements in the framework of Directive 2013/34/EU. In its resolution of 17 December 2020 on sustainable corporate governance (15), the European Parliament welcomed the Commission’s commitment to review Directive 2013/34/EU and expressed the need to set up a comprehensive Union framework on non-financial reporting that contains mandatory Union non"
32022L2464,,,,recital,auditoria,low,0,\baudit\w*,audit,"In its resolution of 29 May 2018 on sustainable finance (14), the European Parliament called for the further development of non-financial reporting requirements in the framework of Directive 2013/34/EU. In its resolution of 17 December 2020 on sustainable corporate governance (15), the European Parliament welcomed the Commission’s commitment to review Directive 2013/34/EU and expressed the need to set up a comprehensive Union framework on non-financial reporting that contains mandatory Union non"
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"Directive 2014/95/EU of the European Parliament and of the Council (16) amended Directive 2013/34/EU as regards disclosure of non-financial information by certain large undertakings and groups. Directive 2014/95/EU introduced a requirement on undertakings to report information on, as a minimum, environmental, social and employee matters, respect for human rights, anti-corruption and bribery matters. With regard to those topics, Directive 2014/95/EU required undertakings to disclose information u"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Many stakeholders consider the term ‘non-financial’ to be inaccurate, in particular because it implies that the information in question has no financial relevance. Increasingly, however, such information does have financial relevance. Many organisations, initiatives and practitioners in the field of sustainability reporting refer to ‘sustainability information’. It is therefore preferable to use the term ‘sustainability information’ in place of ‘non-financial information’. Directive 2013/34/EU s"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"If undertakings carried out better sustainability reporting, the ultimate beneficiaries would be individual citizens and savers, including trade unions and workers’ representatives who would be adequately informed and therefore able to better engage in social dialogue. Savers who want to invest sustainably will have the opportunity to do so, while all citizens would benefit from a stable, sustainable and inclusive economic system. To realise such benefits, the sustainability information disclose"
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"The business partners of undertakings, including customers, might rely on sustainability information to understand and, where necessary, report on their sustainability risks and impacts throughout their own value chains. Policy makers and environmental agencies can use such information, in particular on an aggregate basis, to monitor environmental and social trends, to contribute to environmental accounts, and to inform public policy. Few individual citizens and consumers directly consult undert"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,Undertakings themselves stand to benefit from carrying out high-quality reporting on sustainability matters. The growth in the number of investment products that aim to pursue sustainability objectives means that good sustainability reporting can enhance an undertaking’s access to financial capital. Sustainability reporting can help undertakings to identify and manage their own risks and opportunities related to sustainability matters. It can provide a basis for better dialogue and communication
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"The Commission report of 21 April 2021 on the review clauses in Directives 2013/34/EU, 2014/95/EU, and 2013/50/EU and its accompanying fitness check on the EU framework for public reporting by companies (‘Commission report on the review clauses and its accompanying fitness check’) identified problems as to the effectiveness of Directive 2014/95/EU. There is significant evidence that many undertakings do not disclose material information on all major sustainability-related topics, including clima"
32022L2464,,,,recital,auditoria,low,0,\baudit\w*,auditing,"The Commission report of 21 April 2021 on the review clauses in Directives 2013/34/EU, 2014/95/EU, and 2013/50/EU and its accompanying fitness check on the EU framework for public reporting by companies (‘Commission report on the review clauses and its accompanying fitness check’) identified problems as to the effectiveness of Directive 2014/95/EU. There is significant evidence that many undertakings do not disclose material information on all major sustainability-related topics, including clima"
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"The Commission report on the review clauses and its accompanying fitness check also identified a significant increase in requests to undertakings for information about sustainability matters aimed at addressing the existing information gap between users’ information needs and the available corporate sustainability information. In addition, ongoing expectations on undertakings to use a variety of different frameworks and standards are likely to continue and may even intensify as the value placed "
32022L2464,,,,recital,reportar,high,0,reporting (obligation|requirement)s?,reporting requirements,"The existing information gap makes it more likely that individual Member States will introduce increasingly divergent national rules or standards. Different reporting requirements in different Member States could create additional costs and complexity for undertakings operating across borders and therefore undermine the internal market, and could undermine the right of establishment and the free movement of capital across the Union. Such different reporting requirements could also make reported "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Articles 19a and 29a of Directive 2013/34/EU apply to large undertakings that are public-interest entities with an average number of employees in excess of 500, and to public-interest entities that are parent undertakings of a large group with an average number of employees in excess of 500 on a consolidated basis, respectively. In view of the growth of users’ needs for sustainability information, additional categories of undertakings should be required to report sustainability information. It i"
32022L2464,,,,recital,reportar,low,0,\breport\b,report,"The requirement provided for in this amending Directive that also large undertakings whose securities are not admitted to trading on a regulated market in the Union should disclose information on sustainability matters is mainly justified by concerns about the impacts and accountability of such undertakings, including through their value chain. In this respect, all large undertakings should be subject to the same requirements to report sustainability information publicly. In addition, financial "
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"Third-country undertakings which have a significant activity on the territory of the Union should also be required to provide sustainability information, especially on their impacts on social and environmental matters, in order to ensure that third-country undertakings are accountable for their impacts on people and the environment and that there is a level playing field for companies operating in the internal market. Therefore, third-country undertakings which generate a net turnover of more th"
32022L2464,,,,recital,reportar,high,0,sustainability reporting,sustainability reporting,"The subsidiary undertaking or branch of a third-country undertaking should also be able to report in accordance with the standards applying to undertakings established in the Union, or in accordance with standards which are deemed equivalent pursuant to an implementing act. In the event that not all the information required under this amending Directive is provided by the third-country undertaking, despite the best efforts of the subsidiary undertaking or branch of that third-country undertaking"
32022L2464,,,,recital,auditoria,high,0,assurance (engagement|opinion|provider|services),assurance opinion,"The subsidiary undertaking or branch of a third-country undertaking should also be able to report in accordance with the standards applying to undertakings established in the Union, or in accordance with standards which are deemed equivalent pursuant to an implementing act. In the event that not all the information required under this amending Directive is provided by the third-country undertaking, despite the best efforts of the subsidiary undertaking or branch of that third-country undertaking"
32022L2464,,,,recital,reportar,high,0,sustainability report\b,sustainability report,Member States should be able to inform the Commission on an annual basis of the subsidiary undertakings or branches of the third-country undertakings that fulfilled the publication requirement and of the cases where a report was published but the subsidiary undertaking or branch of the third-country undertaking has stated that it could not get the necessary information from the third-country undertaking. The Commission should make publicly available on its website a list of the third-country und
